Designator,Mid X,Mid Y,Rotation,Layer
C1,159.25,-68.25,90.0,top
C10,182.75,-86.75,90.0,top
C2,187.0,-73.5,0.0,top
C3,157.75,-68.25,90.0,top
C4,173.5,-91.75,270.0,top
C5,175.0,-90.595,270.0,top
C6,175.0,-94.095,270.0,top
C7,175.0,-97.595,90.0,top
C8,153.1375,-103.5,0.0,top
C9,156.5,-100.6375,270.0,top
D1,157.75,-75.0,0.0,top
D2,157.75,-76.5,0.0,top
D4,144.3,-103.5,0.0,top
J1,189.9425,-91.625,90.0,top
J2,143.0,-93.5,270.0,top
J3,160.325,-115.2875,0.0,top
J4,177.325,-115.2875,0.0,top
J5,147.25,-79.2,0.0,top
JP1,193.995,-73.25,90.0,top
R1,151.0875,-96.0,0.0,top
R2,151.0875,-92.0,0.0,top
R3,183.0,-73.5,180.0,top
R4,154.1625,-75.0,180.0,top
R5,154.1625,-76.5,180.0,top
R7,147.8,-103.5,180.0,top
SW1,185.0,-69.5,0.0,top
U1,170.0,-73.0,0.0,top
U2,179.743752,-94.095,0.0,top
U3,153.3875,-100.635,180.0,top
